,TSF,STSF,CIF,R-STSF,DrCIF,QUANT,MINE
Adiac,74.17,81.84,80.82,83.38,82.61,82.86,82.94
ArrowHead,73.14,67.43,77.71,78.86,84,82.86,81.89
Beef,80,66.67,86.67,86.67,86.67,83.33,83.67
BeetleFly,80,95,80,90,90,90,95
BirdChicken,90,95,90,90,95,90,97.5
Car,76.67,80,86.67,85,88.33,91.67,93.33
CBF,98.78,98.56,99.56,99.11,100,99.78,100
ChlorineC,73.23,78.15,72.27,74.97,74.04,75.23,81.43
CinCECGTorso,98.48,96.96,99.71,100,99.93,99.2,100
Coffee,100,100,100,100,100,100,100
Computers,71.6,76.4,70,74.4,73.6,80.8,77.48
CricketX,66.67,68.46,74.36,75.38,75.13,74.1,76.95
CricketY,70,74.1,76.67,78.72,80.51,80,81.85
CricketZ,66.92,73.08,80.26,77.69,80.26,78.97,80.74
DiatomSizeR,89.22,96.08,88.89,92.81,93.46,91.18,93.5
DistalPOAG,72.66,76.26,75.54,71.94,76.26,74.1,75.25
DistalPOC,77.54,78.62,75.72,78.26,78.26,80.07,78.99
DistalPTW,69.78,67.63,69.06,66.91,69.06,69.06,68.92
Earthquakes,74.82,74.1,74.82,75.54,74.82,74.82,74.96
ECG200,87,85,87,87,88,90,88.9
ECG5000,93.98,94.16,94.24,94.47,94.16,94.4,94.48
ECGFiveDays,96.86,98.14,98.49,99.54,99.88,99.77,100
ElectricDevices,69.07,73.21,73.04,74.13,73.56,74.1,72.28
FaceAll,76.04,77.87,75.92,90.53,76.27,76.69,79.75
FaceFour,95.45,100,97.73,98.86,98.86,97.73,98.75
FacesUCR,88.93,88.2,89.37,90.05,90.2,88.29,90.34
FiftyWords,74.07,76.04,79.12,77.8,79.78,80.44,78.81
Fish,80,90.86,94.29,92.57,94.86,96,95.6
FordA,81.67,96.74,90.61,98.03,96.82,96.97,98.19
FordB,68.15,79.26,75.8,83.09,81.23,81.11,81.43
GunPoint,96.67,90.67,98,98,99.33,98.67,98.27
Ham,77.14,73.33,69.52,79.05,72.38,75.24,77.24
HandOutlines,92.43,91.62,92.7,91.35,92.43,92.97,93.03
Haptics,43.83,51.3,48.7,52.6,51.62,52.92,54.35
Herring,56.25,64.06,56.25,56.25,64.06,60.94,63.28
InlineSkate,36.55,52.55,43.27,67.45,56,58.73,64.22
InsectWS,64.65,66.72,67.22,67.78,68.59,67.17,67.26
ItalyPowerD,96.5,97.08,96.31,97.08,96.89,96.6,96.87
LargeKitchenA,56.27,81.07,79.73,81.87,82.4,83.2,82.51
Lightning2,77.05,72.13,75.41,75.41,77.05,78.69,76.89
Lightning7,75.34,75.34,72.6,73.97,75.34,78.08,77.53
Mallat,92.03,97.27,96.29,96.93,92.24,95.14,97.61
Meat,93.33,93.33,91.67,96.67,95,93.33,95
MedicalImages,75.26,78.29,75.66,82.63,78.82,81.71,82.88
MiddlePOAG,53.9,59.09,60.39,58.44,60.39,61.04,60.78
MiddlePOC,82.82,83.16,83.85,83.85,83.16,85.91,84.54
MiddlePTW,55.84,57.79,57.14,58.44,59.09,58.44,59.94
MoteStrain,88.82,92.25,92.81,94.49,93.53,93.93,93.76
NonIFECGT1,88.14,93.38,92.82,93.38,93.38,93.18,93.49
NonIFECGT2,90.59,94.15,94.15,94.45,94.15,94.61,94.59
OliveOil,86.67,90,93.33,90,93.33,93.33,93.33
OSULeaf,57.44,77.69,71.49,85.54,85.54,88.02,89.79
PhalangesOC,81.59,82.75,82.87,84.62,83.57,84.38,84.28
Phoneme,20.68,32.65,36.5,38.92,40.77,38.71,38.62
Plane,100,100,100,100,100,100,100
ProximalPOAG,85.37,84.88,82.93,85.85,84.88,84.88,85.95
ProximalPOC,84.54,91.07,88.32,91.41,89.69,90.72,90.07
ProximalPTW,81.46,76.59,80.98,79.51,79.02,79.51,80.73
RefrigerationD,59.73,55.73,56,58.4,60.53,56.8,58.19
ScreenType,46.4,53.33,50.13,55.2,52.53,52.8,53.31
ShapeletSim,47.78,97.78,93.89,98.33,98.33,98.89,98.89
ShapesAll,78.5,84.83,85,86.17,86.33,86.83,88.42
SmallKitchenA,80.8,82.4,82.13,82.13,82.13,81.87,85.52
SonyAIBORS1,80.37,93.01,80.87,88.19,90.68,86.69,88.17
SonyAIBORS2,81.85,88.04,88.25,86.36,90.56,88.25,84.24
StarLightCurves,97.21,97.96,98.08,98,98.08,97.97,98.12
Strawberry,96.49,95.68,97.3,96.49,96.49,97.03,97.14
SwedishLeaf,92,94.72,96,95.68,96.8,96,96.21
Symbols,91.76,95.98,95.48,97.09,96.58,98.59,98.21
SyntheticC,99,98.33,99.33,99.33,100,99.33,99.27
ToeS1,74.12,82.46,91.67,87.72,93.42,85.96,92.85
ToeS2,83.08,88.46,83.85,88.46,89.23,85.38,87.85
Trace,99,100,100,100,100,100,100
TwoLeadECG,80.77,97.54,96.4,99.3,99.65,99.74,99.54
TwoPatterns,99.15,99.6,99.88,99.68,99.98,100,100
UWaveGLAll,95.64,95.39,97.4,95.78,97.32,96.73,96.92
UWaveGLX,80.09,81.83,82.66,82.75,83.81,84.51,84.73
UWaveGLY,72.47,73.81,76.63,75.74,77.41,77.39,76.91
UWaveGLZ,74.54,76.07,77.11,77.64,77.67,78.36,79.18
